run_number,dimension,total_particle_number,ensemble,initialize,compress,sample,analyze,status,execution_state,started_at,finished_at,output_dir,error
0,2,512,NPT,O,O,O,O,success,finished,2026-06-29T20:08:27.836614+00:00,2026-06-29T20:20:40.889205+00:00,/SNS/users/ldq/Work/ColPackAgent/data/2d_npt_disk_v2/run_0,
1,2,512,NPT,O,O,O,O,success,finished,2026-06-29T20:08:27.901697+00:00,2026-06-29T20:20:51.094876+00:00,/SNS/users/ldq/Work/ColPackAgent/data/2d_npt_disk_v2/run_1,
2,2,512,NPT,O,O,O,O,success,finished,2026-06-29T20:08:38.769044+00:00,2026-06-29T20:21:01.403313+00:00,/SNS/users/ldq/Work/ColPackAgent/data/2d_npt_disk_v2/run_2,
3,2,512,NPT,O,O,O,O,success,finished,2026-06-29T20:08:38.960826+00:00,2026-06-29T20:21:11.677565+00:00,/SNS/users/ldq/Work/ColPackAgent/data/2d_npt_disk_v2/run_3,
4,2,512,NPT,O,O,O,O,success,finished,2026-06-29T20:08:39.157566+00:00,2026-06-29T20:21:21.828042+00:00,/SNS/users/ldq/Work/ColPackAgent/data/2d_npt_disk_v2/run_4,
5,2,512,NPT,O,O,O,O,success,finished,2026-06-29T20:08:39.193485+00:00,2026-06-29T20:21:32.137262+00:00,/SNS/users/ldq/Work/ColPackAgent/data/2d_npt_disk_v2/run_5,
6,2,512,NPT,O,O,O,O,success,finished,2026-06-29T20:08:39.326378+00:00,2026-06-29T20:21:42.365647+00:00,/SNS/users/ldq/Work/ColPackAgent/data/2d_npt_disk_v2/run_6,
7,2,512,NPT,O,O,O,O,success,finished,2026-06-29T20:08:43.662458+00:00,2026-06-29T20:21:52.623040+00:00,/SNS/users/ldq/Work/ColPackAgent/data/2d_npt_disk_v2/run_7,
8,2,512,NPT,O,O,O,O,success,finished,2026-06-29T20:08:43.706968+00:00,2026-06-29T20:22:03.421660+00:00,/SNS/users/ldq/Work/ColPackAgent/data/2d_npt_disk_v2/run_8,
