run_number,dimension,total_particle_number,ensemble,initialize,compress,sample,analyze,status,execution_state,started_at,finished_at,output_dir,error
0,2,40,NPT,O,O,O,O,success,finished,2026-04-08T20:42:09.206212+00:00,2026-04-08T20:42:19.989354+00:00,/Users/ldq/Work/ColPackAgent/plot/illustrative_data/tunable_pressure_square_npt/run_0,
1,2,40,NPT,O,O,O,O,success,finished,2026-04-08T20:42:19.990007+00:00,2026-04-08T20:42:30.168894+00:00,/Users/ldq/Work/ColPackAgent/plot/illustrative_data/tunable_pressure_square_npt/run_1,
