run_number,dimension,total_particle_number,ensemble,initialize,compress,sample,analyze,status,execution_state,started_at,finished_at,output_dir,error
0,2,512,NPT,O,O,O,O,success,finished,2026-06-29T20:27:14.220134+00:00,2026-06-29T20:48:07.477794+00:00,/SNS/users/ldq/Work/ColPackAgent/data/2d_npt_disk_v3/run_0,
1,2,512,NPT,O,O,O,O,success,finished,2026-06-29T20:27:37.597984+00:00,2026-06-29T20:48:28.003138+00:00,/SNS/users/ldq/Work/ColPackAgent/data/2d_npt_disk_v3/run_1,
2,2,512,NPT,O,O,O,O,success,finished,2026-06-29T20:27:19.153464+00:00,2026-06-29T20:48:48.299292+00:00,/SNS/users/ldq/Work/ColPackAgent/data/2d_npt_disk_v3/run_2,
3,2,512,NPT,O,O,O,O,success,finished,2026-06-29T20:27:19.212081+00:00,2026-06-29T20:49:08.274055+00:00,/SNS/users/ldq/Work/ColPackAgent/data/2d_npt_disk_v3/run_3,
4,2,512,NPT,O,O,O,O,success,finished,2026-06-29T20:27:25.058631+00:00,2026-06-29T20:49:28.372017+00:00,/SNS/users/ldq/Work/ColPackAgent/data/2d_npt_disk_v3/run_4,
5,2,512,NPT,O,O,O,O,success,finished,2026-06-29T20:27:25.747881+00:00,2026-06-29T20:49:48.286144+00:00,/SNS/users/ldq/Work/ColPackAgent/data/2d_npt_disk_v3/run_5,
6,2,512,NPT,O,O,O,O,success,finished,2026-06-29T20:27:30.825052+00:00,2026-06-29T20:50:08.327306+00:00,/SNS/users/ldq/Work/ColPackAgent/data/2d_npt_disk_v3/run_6,
